"CustomerID","CustomerName","Email","Phone","City","Country","ProductID","ProductName","Category","Price","StockQuantity","SaleID","SaleDate","Quantity","TotalAmount"
"51","Elizabeth Harding","anthony65@hotmail.com","001-249-251-3993","San Francisco","Germany","3","Wife Plus","Electronics","400.10","393","31","2023-10-31","4","3936.25"
"61","Elizabeth Rhodes","thompsongail@martin.com","001-094-907-0832x73202","Dallas","Canada","3","Wife Plus","Electronics","400.10","393","6","2024-10-29","8","2366.60"
"61","Elizabeth Rhodes","thompsongail@martin.com","001-094-907-0832x73202","Dallas","Canada","3","Wife Plus","Electronics","400.10","393","6","2024-10-29","8","2366.60"
"51","Elizabeth Harding","anthony65@hotmail.com","001-249-251-3993","San Francisco","Germany","8","Never Edition","Furniture","723.40","362","51","2023-09-20","2","2109.84"
"54","Valerie Austin","smithkristina@sullivan.com","+1-064-172-2689x2878","New York","Japan","9","Report Basic","Electronics","943.22","42","11","2024-07-17","9","4538.77"
"19","Benjamin Ellis","patrickmarsh@davis.com","001-564-081-9634x314","Los Angeles","Japan","10","Energy Ultra","Electronics","455.70","98","57","2024-04-03","3","2233.54"
"63","Catherine Macdonald","cbaker@hotmail.com","None","Chicago","USA","12","When Ultra","Beauty","786.27","312","55","2025-03-09","4","2145.61"
"44","Cassandra Peck","waltondavid@larson.com","048.868.2128x160","Boston","UK","13","Agent Plus","Home Appliances","582.59","339","35","2023-12-13","9","2783.86"
"1","Samantha Ferrell","tproctor@yahoo.com","(824)288-2875","Dallas","Germany","14","Seat Ultra","Sports","995.55","74","79","2023-08-13","5","3324.10"
"46","Tara Rivera","brandonallen@mullins-bell.com","607.001.8273","Seattle","Canada","16","Today Basic","Beauty","62.94","220","40","2024-06-27","4","1133.41"
"21","Matthew Sharp","nelsonmatthew@benjamin.com","None","San Francisco","Australia","23","Operation Plus","Home Appliances","338.37","279","7","2024-03-29","7","1272.67"
"21","Matthew Sharp","nelsonmatthew@benjamin.com","None","San Francisco","Australia","23","Operation Plus","Home Appliances","338.37","279","7","2024-03-29","7","1272.67"
"73","Michael Fleming","elizabeth09@solomon.com","(449)262-4124x881","New York","Brazil","27","Reveal Max","Automotive","528.67","217","16","2024-09-24","2","1056.93"
"50","Brian Thompson","kara05@gmail.com","None","Seattle","Canada","32","Above Ultra","Clothing","529.55","110","45","2025-01-08","5","1503.38"
"50","Brian Thompson","kara05@gmail.com","None","Seattle","Canada","32","Above Ultra","Clothing","529.55","110","45","2025-01-08","5","1503.38"
"50","Brian Thompson","kara05@gmail.com","None","Seattle","Canada","32","Above Ultra","Clothing","529.55","110","45","2025-01-08","5","1503.38"
"50","Brian Thompson","kara05@gmail.com","None","Seattle","Canada","32","Above Ultra","Clothing","529.55","110","45","2025-01-08","5","1503.38"
"33","Greg Huffman","kellycopeland@knight-stark.org","None","New York","India","38","Remain Ultra","Home Appliances","553.50","485","71","2023-12-22","5","3840.20"
"15","Stephanie Pena","sarahwhite@hotmail.com","+1-199-908-5492x33828","Dallas","Brazil","38","Remain Ultra","Home Appliances","553.50","485","3","2023-12-12","9","662.37"
"73","Michael Fleming","elizabeth09@solomon.com","(449)262-4124x881","New York","Brazil","41","Season Basic","Electronics","326.74","231","67","2023-10-09","6","1005.14"
"5","Margaret Turner","foxgabriella@chung.biz","+1-452-312-0028x222","Boston","Australia","41","Season Basic","Electronics","326.74","231","69","2024-10-24","2","4484.39"
"73","Michael Fleming","elizabeth09@solomon.com","(449)262-4124x881","New York","Brazil","41","Season Basic","Electronics","326.74","231","67","2023-10-09","6","1005.14"
"52","Anthony Adams","hallcassandra@floyd.biz","042.405.1739","Boston","USA","41","Season Basic","Electronics","326.74","231","5","2024-01-23","6","914.63"
"37","Cassandra Robinson","beckyrhodes@yahoo.com","None","New York","Canada","45","Conference Basic","Beauty","328.87","97","49","2023-05-25","6","1005.84"
"54","Valerie Austin","smithkristina@sullivan.com","+1-064-172-2689x2878","New York","Japan","48","Else Pro","Books","995.03","30","59","2024-03-26","4","894.29"
"54","Valerie Austin","smithkristina@sullivan.com","+1-064-172-2689x2878","New York","Japan","48","Else Pro","Books","995.03","30","59","2024-03-26","4","894.29"
"6","Ashley Maynard","emiles@hotmail.com","321.397.4886x76907","New York","India","60","Bed Plus","Home Appliances","257.57","185","52","2023-07-24","4","1017.12"
"13","Mr. Scott King","clarkejames@lewis.com","539-670-3499x4385","Boston","Brazil","72","Author Edition","Automotive","159.14","462","63","2023-06-25","5","3303.63"
"13","Mr. Scott King","clarkejames@lewis.com","539-670-3499x4385","Boston","Brazil","72","Author Edition","Automotive","159.14","462","63","2023-06-25","5","3303.63"
"73","Michael Fleming","elizabeth09@solomon.com","(449)262-4124x881","New York","Brazil","75","Poor Basic","Sports","443.85","225","76","2024-05-08","2","660.56"
"63","Catherine Macdonald","cbaker@hotmail.com","None","Chicago","USA","75","Poor Basic","Sports","443.85","225","62","2025-02-21","1","493.81"
"23","Kimberly Kim","ortiztimothy@yahoo.com","(120)427-2118","New York","Canada","76","Head Plus","Toys","309.89","290","37","2023-11-30","2","2307.94"
"52","Anthony Adams","hallcassandra@floyd.biz","042.405.1739","Boston","USA","79","Adult Max","Electronics","229.11","369","28","2023-09-23","5","1670.44"
"37","Cassandra Robinson","beckyrhodes@yahoo.com","None","New York","Canada","79","Adult Max","Electronics","229.11","369","25","2024-06-16","7","1508.43"
"54","Valerie Austin","smithkristina@sullivan.com","+1-064-172-2689x2878","New York","Japan","48","Else Pro","Books","995.03","30","59","2024-03-26","4","894.29"
"54","Valerie Austin","smithkristina@sullivan.com","+1-064-172-2689x2878","New York","Japan","48","Else Pro","Books","995.03","30","59","2024-03-26","4","894.29"
"19","Benjamin Ellis","patrickmarsh@davis.com","001-564-081-9634x314","Los Angeles","Japan","10","Energy Ultra","Electronics","455.70","98","57","2024-04-03","3","2233.54"
"37","Cassandra Robinson","beckyrhodes@yahoo.com","None","New York","Canada","45","Conference Basic","Beauty","328.87","97","49","2023-05-25","6","1005.84"
